Month,Mkt-RF,SMB,HML,RMW,CMA,RF,WML,Vol,Change,DJI
199011,6.35,-0.04,-3.21,0.83,-4.75,0.57,0.08,19.57M,4.80%,"2,559.65"
199012,2.46,0.59,-1.72,2.84,-2.00,0.60,-2.64,18.38M,2.89%,"2,633.66"
199101,4.69,3.86,-1.74,1.56,-4.08,0.52,-1.69,22.23M,3.90%,"2,736.39"
199102,7.19,3.97,-0.55,-0.25,-0.16,0.48,-7.45,29.73M,5.33%,"2,882.18"
199103,2.65,3.85,-1.32,-0.37,-0.99,0.44,1.95,24.24M,1.10%,"2,913.86"
199104,-0.28,0.32,1.48,0.52,0.71,0.53,-0.02,22.17M,-0.89%,"2,887.87"
199105,3.65,0.16,-0.57,2.10,-2.45,0.47,0.97,20.69M,4.84%,"3,027.50"
199106,-4.94,0.18,1.23,1.75,0.63,0.42,1.11,20.16M,-3.99%,"2,906.75"
199107,4.24,-0.96,-1.25,1.60,-1.41,0.49,3.45,17.46M,4.06%,"3,024.82"
199108,2.32,1.44,-0.83,0.87,-0.55,0.46,3.43,19.79M,0.62%,"3,043.60"
199109,-1.59,1.56,-0.98,-1.81,0.16,0.46,1.63,19.42M,-0.88%,"3,016.77"
199110,1.29,0.94,-0.47,-1.73,-0.29,0.42,2.46,20.40M,1.73%,"3,069.10"
199111,-4.19,-0.87,-1.85,1.06,0.12,0.39,0.96,19.67M,-5.68%,"2,894.68"
199112,10.84,-2.42,-4.11,3.57,-3.12,0.38,3.21,22.95M,9.47%,"3,168.83"
199201,-0.59,9.26,4.61,-1.33,3.15,0.34,0.40,26.44M,1.72%,"3,223.40"
199202,1.09,1.35,6.37,0.11,2.04,0.28,1.18,22.58M,1.37%,"3,267.70"
199203,-2.66,-0.90,3.61,-0.10,1.93,0.34,0.70,18.98M,-0.99%,"3,235.50"
199204,1.07,-5.73,4.27,1.69,2.22,0.32,-0.01,22.92M,3.82%,"3,359.10"
199205,0.30,0.22,1.25,-0.98,0.43,0.28,0.02,20.45M,1.13%,"3,396.90"
199206,-2.34,-2.71,3.36,-0.05,1.07,0.32,2.87,22.45M,-2.31%,"3,318.50"
199207,3.77,-0.61,-0.37,1.40,-0.72,0.31,0.97,21.06M,2.27%,"3,393.80"
199208,-2.38,-0.43,-1.06,3.73,-1.62,0.26,-3.60,134.60K,-4.02%,"3,257.40"
199209,1.19,0.50,-0.28,1.63,-0.50,0.26,2.59,21.71M,0.44%,"3,271.70"
199210,1.02,2.03,-2.01,1.30,-0.80,0.23,1.47,24.96M,-1.39%,"3,226.30"
199211,4.13,3.93,-1.40,-0.77,-1.91,0.23,0.85,23.77M,2.45%,"3,305.20"
199212,1.53,1.64,2.63,-0.41,0.75,0.28,1.56,23.84M,-0.12%,"3,301.11"
199301,0.93,2.07,5.92,-1.73,2.78,0.23,2.53,32.10M,0.27%,"3,310.00"
199302,0.12,-3.47,6.41,-0.59,4.05,0.22,0.96,31.55M,1.84%,"3,370.81"
199303,2.30,0.06,1.31,-0.14,0.92,0.25,0.42,26.60M,1.91%,"3,435.11"
199304,-3.05,-0.86,2.52,-3.58,1.52,0.24,-0.20,31.87M,-0.22%,"3,427.55"
199305,2.89,1.90,-3.45,0.00,-1.18,0.22,0.55,24.52M,2.91%,"3,527.43"
199306,0.31,0.11,2.72,-0.97,1.09,0.25,2.75,22.06M,-0.32%,"3,516.08"
199307,-0.34,0.89,2.82,-1.84,2.03,0.24,2.20,25.06M,0.67%,"3,539.47"
199308,3.71,0.13,0.13,-1.59,-0.04,0.25,0.35,24.83M,3.16%,"3,651.25"
199309,-0.12,2.98,-0.25,0.26,-0.08,0.26,0.46,24.32M,-2.63%,"3,555.12"
199310,1.41,1.90,-2.72,0.55,0.59,0.22,-0.28,26.38M,3.53%,"3,680.59"
199311,-1.89,-1.26,-0.77,2.25,-0.96,0.25,-4.81,28.57M,0.09%,"3,683.95"
199312,1.65,1.39,0.36,1.13,-0.32,0.23,1.80,24.18M,1.90%,"3,754.09"
199401,2.87,-0.01,1.13,-1.59,1.45,0.25,1.98,30.76M,5.97%,"3,978.36"
199402,-2.55,2.66,-1.59,2.20,-1.03,0.21,0.84,28.04M,-3.68%,"3,832.02"
199403,-4.78,-1.11,1.63,0.55,1.27,0.27,-1.56,31.08M,-5.12%,"3,635.96"
199404,0.68,-1.06,1.66,1.11,1.12,0.27,-0.57,30.98M,1.26%,"3,681.69"
199405,0.58,-2.52,0.66,0.66,0.70,0.31,-0.70,26.34M,2.08%,"3,758.37"
199406,-3.03,-0.52,1.72,1.15,1.53,0.31,0.08,26.37M,-3.55%,"3,624.96"
199407,2.82,-1.84,0.56,-0.63,0.11,0.28,-0.71,23.77M,3.85%,"3,764.50"
199408,4.01,1.34,-2.47,0.90,-1.45,0.37,0.51,28.81M,3.96%,"3,913.42"
199409,-2.31,2.78,-1.87,0.51,0.93,0.37,1.12,29.47M,-1.79%,"3,843.19"
199410,1.34,-2.30,-1.66,0.22,-0.62,0.38,1.09,31.82M,1.69%,"3,908.12"
199411,-4.04,0.09,-0.69,0.45,-0.44,0.37,-0.54,30.54M,-4.32%,"3,739.23"
199412,0.86,0.07,-0.20,0.50,0.31,0.44,1.65,26.71M,2.55%,"3,834.44"
199501,1.80,-3.11,2.54,0.09,-0.83,0.42,-1.19,31.18M,0.25%,"3,843.86"
199502,3.63,-0.52,1.12,0.61,-0.33,0.40,0.45,31.50M,4.35%,"4,011.05"
199503,2.19,-0.51,-2.15,-0.09,0.16,0.46,-0.48,32.04M,3.66%,"4,157.69"
199504,2.11,-0.29,1.71,0.24,1.00,0.44,1.15,30.38M,3.93%,"4,321.27"
199505,2.90,-2.20,2.23,0.37,0.09,0.54,0.36,32.70M,3.33%,"4,465.14"
199506,2.72,3.03,-2.50,-0.33,-2.44,0.47,2.77,30.16M,2.04%,"4,556.10"
199507,3.72,2.07,-1.63,0.28,-1.71,0.45,0.78,34.74M,3.34%,"4,708.47"
199508,0.55,1.78,2.84,-1.17,1.64,0.47,-0.35,27.96M,-2.08%,"4,610.56"
199509,3.35,-1.97,0.02,1.06,0.36,0.43,3.04,36.81M,3.87%,"4,789.08"
199510,-1.52,-4.09,-0.46,1.84,-0.03,0.47,2.46,32.48M,-0.70%,"4,755.48"
199511,3.96,-1.14,0.61,-0.54,1.19,0.42,0.27,29.76M,6.71%,"5,074.49"
199512,1.03,0.69,0.33,-1.35,2.99,0.49,-0.86,31.13M,0.84%,"5,117.12"
199601,2.26,-2.49,0.22,0.13,2.27,0.43,-0.60,40.72M,5.44%,"5,395.30"
199602,1.33,1.76,-1.16,0.24,-1.80,0.39,0.80,40.45M,1.67%,"5,485.62"
199603,0.73,1.63,0.31,1.46,-0.97,0.39,0.24,41.10M,1.85%,"5,587.14"
199604,2.06,4.70,-4.08,-0.14,-2.20,0.46,0.08,37.38M,-0.32%,"5,569.08"
199605,2.36,3.13,-0.80,0.15,-0.22,0.42,1.72,37.68M,1.33%,"5,643.18"
199606,-1.14,-3.57,2.26,3.34,1.09,0.40,-0.06,33.98M,0.20%,"5,654.63"
199607,-5.97,-3.82,5.16,2.95,2.59,0.45,-2.49,37.10M,-2.22%,"5,528.91"
199608,2.77,2.58,-0.78,-0.41,-2.42,0.41,1.74,29.00M,1.58%,"5,616.21"
199609,5.01,-1.37,-2.76,1.24,-2.18,0.44,2.08,33.86M,4.74%,"5,882.17"
199610,0.86,-3.84,4.92,1.52,2.97,0.42,2.57,34.93M,2.50%,"6,029.38"
199611,6.25,-3.82,1.46,2.05,-0.73,0.41,-0.09,37.69M,8.17%,"6,521.70"
199612,-1.70,3.16,1.33,0.41,1.52,0.46,0.74,38.72M,-1.13%,"6,448.27"
199701,4.98,-1.85,-1.43,1.23,-0.28,0.45,2.55,47.52M,5.66%,"6,813.09"
199702,-0.49,-2.66,5.70,0.67,3.41,0.39,-1.21,42.50M,0.95%,"6,877.74"
199703,-5.02,-0.50,3.43,0.46,1.66,0.43,0.97,51.28M,-4.28%,"6,583.48"
199704,4.04,-5.72,0.09,3.36,-0.90,0.43,4.17,52.70M,6.46%,"7,009.00"
199705,6.74,4.74,-4.08,-1.03,-2.91,0.49,-2.35,52.27M,4.59%,"7,331.00"
199706,4.10,1.17,1.62,0.61,0.55,0.37,0.83,54.08M,4.66%,"7,672.80"
199707,7.33,-2.76,0.20,0.09,-2.56,0.43,6.35,59.70M,7.17%,"8,222.60"
199708,-4.15,7.65,1.12,-1.01,-0.02,0.41,0.03,55.48M,-7.30%,"7,622.40"
199709,5.35,2.50,0.29,-1.59,-0.93,0.44,5.59,60.11M,4.24%,"7,945.30"
199710,-3.80,-0.54,2.33,1.07,1.87,0.42,-1.69,72.84M,-6.33%,"7,442.10"
199711,2.98,-5.09,1.24,2.83,1.66,0.39,2.82,57.28M,5.12%,"7,823.10"
199712,1.32,-2.14,4.03,0.76,1.92,0.48,5.23,54.22M,1.09%,"7,908.30"
199801,0.15,-1.30,-1.65,0.87,-0.85,0.43,-2.73,68.90M,-0.02%,"7,906.50"
199802,7.04,0.14,-0.78,-0.31,-2.41,0.39,-1.76,774.50K,8.08%,"8,545.72"
199803,4.76,-0.67,1.54,-0.30,-0.47,0.39,2.99,56.98M,2.97%,"8,799.81"
199804,0.73,-0.05,0.89,-1.63,-0.23,0.43,1.50,68.89M,3.00%,"9,063.37"
199805,-3.07,-2.95,3.43,1.05,2.54,0.40,1.63,56.23M,-1.80%,"8,899.95"
199806,3.18,-3.72,-1.80,-0.29,-2.93,0.41,4.79,61.32M,0.59%,"8,952.02"
199807,-2.46,-5.25,-1.71,1.83,0.45,0.40,3.79,67.69M,-0.77%,"8,883.29"
199808,-16.08,-5.17,3.56,3.45,5.84,0.43,0.10,83.79M,-15.13%,"7,539.07"
199809,6.15,-0.80,-3.42,-1.69,-2.91,0.46,-0.30,94.51M,4.03%,"7,842.62"
199810,7.13,-3.43,-2.21,0.77,0.29,0.32,-3.96,90.33M,9.56%,"8,592.10"
199811,6.10,0.71,-3.16,-1.08,-1.15,0.31,0.58,73.06M,6.10%,"9,116.55"
199812,6.16,-1.57,-4.20,-0.66,-3.33,0.38,7.53,70.95M,0.71%,"9,181.43"
199901,3.50,-0.62,-4.66,-2.66,-6.86,0.35,4.84,96.45M,1.93%,"9,358.83"
199902,-4.08,-5.22,1.91,-1.24,4.09,0.35,-1.09,85.61M,-0.56%,"9,306.58"
199903,3.45,-4.18,-2.77,-3.90,-1.40,0.43,-2.67,91.51M,5.15%,"9,786.16"
199904,4.33,4.67,2.34,-2.26,0.92,0.37,-7.23,105.64M,10.25%,"10,789.04"
199905,-2.46,3.64,2.36,0.76,3.36,0.34,-0.58,95.77M,-2.13%,"10,559.74"
199906,4.77,2.27,-3.40,1.11,-3.38,0.40,5.71,86.02M,3.89%,"10,970.80"
199907,-3.49,2.49,-0.48,0.45,3.11,0.38,1.36,83.56M,-2.88%,"10,655.15"
199908,-1.38,-1.83,-1.72,-0.20,0.31,0.39,4.25,89.01M,1.63%,"10,829.28"
199909,-2.79,2.57,-3.42,-0.77,-1.07,0.39,4.61,88.58M,-4.55%,"10,336.95"
199910,6.12,-7.05,-3.16,-1.88,-1.25,0.39,5.07,111.41M,3.80%,"10,729.86"
199911,3.37,5.81,-6.07,-4.01,-1.58,0.36,11.16,162.30M,1.38%,"10,877.81"
199912,7.72,5.42,-8.40,-7.53,-5.29,0.44,12.14,145.90M,5.69%,"11,497.12"
200001,-4.74,4.38,-1.75,-6.07,4.73,0.41,2.99,202.32M,-4.84%,"10,940.53"
200002,2.45,18.08,-8.94,-18.48,-0.51,0.43,17.74,192.62M,-7.42%,"10,128.31"
200003,5.20,-14.89,7.66,11.53,-1.05,0.47,-12.27,214.53M,7.84%,"10,921.92"
200004,-6.40,-5.25,7.41,7.66,5.27,0.46,-10.76,222.28M,-1.72%,"10,733.91"
200005,-4.42,-4.11,5.01,4.36,0.74,0.50,-11.04,180.90M,-1.97%,"10,522.33"
200006,4.64,9.89,-8.22,-8.05,-3.07,0.40,6.89,183.98M,-0.71%,"10,447.89"
200007,-2.51,-1.03,8.40,6.28,2.99,0.48,-2.61,171.24M,0.71%,"10,521.98"
200008,7.03,-0.94,-1.47,-3.17,0.61,0.50,5.98,165.39M,6.59%,"11,215.10"
200009,-5.45,0.02,7.28,2.77,6.43,0.51,-3.67,243.81M,-5.03%,"10,650.92"
200010,-2.76,-2.86,5.71,9.44,4.67,0.56,-6.55,297.12M,3.01%,"10,971.14"
200011,-10.72,-0.69,12.53,13.38,8.51,0.51,-7.67,240.12M,-5.07%,"10,414.49"
200012,1.19,3.16,7.67,2.35,5.68,0.50,3.63,270.67M,3.59%,"10,787.99"
200101,3.13,5.78,-5.33,-5.31,-6.55,0.54,-13.97,290.79M,0.92%,"10,887.36"
200102,-10.05,2.63,12.58,9.09,9.56,0.38,8.66,232.54M,-3.60%,"10,495.28"
200103,-7.26,2.27,6.52,3.27,3.94,0.42,5.53,287.98M,-5.87%,"9,878.78"
200104,7.94,-0.66,-4.80,-3.42,-3.95,0.39,-5.04,272.38M,8.67%,"10,734.97"
200105,0.72,3.56,3.34,0.17,2.18,0.32,3.48,214.03M,1.65%,"10,911.94"
200106,-1.94,6.63,-1.16,1.32,-1.79,0.28,4.50,249.67M,-3.75%,"10,502.40"
200107,-2.13,-2.83,5.35,7.42,3.01,0.30,4.04,230.02M,0.19%,"10,522.81"
200108,-6.46,2.73,2.33,3.94,6.50,0.31,6.97,185.20M,-5.45%,"9,949.75"
200109,-9.25,-5.74,1.57,4.89,3.28,0.28,9.37,393.05M,-11.08%,"8,847.56"
200110,2.46,5.37,-7.66,-2.98,-4.64,0.22,-5.70,259.44M,2.57%,"9,075.14"
200111,7.54,-0.35,2.16,-3.88,-1.66,0.17,-9.53,235.38M,8.56%,"9,851.56"
200112,1.60,5.21,0.90,0.24,-0.29,0.15,1.04,222.48M,1.73%,"10,021.57"
200201,-1.44,1.23,3.38,4.66,2.84,0.14,3.33,248.94M,-1.01%,"9,920.00"
200202,-2.29,-0.38,2.21,8.04,5.12,0.13,5.30,259.03M,1.88%,"10,106.13"
200203,4.24,4.20,1.08,-1.75,0.61,0.13,-2.05,238.46M,2.95%,"10,403.94"
200204,-5.20,6.65,3.96,4.46,5.41,0.15,5.96,244.69M,-4.40%,"9,946.22"
200205,-1.38,-3.08,1.57,2.16,2.42,0.14,2.58,228.30M,-0.21%,"9,925.25"
200206,-7.21,3.80,0.04,3.79,2.51,0.13,6.51,305.77M,-6.87%,"9,243.26"
200207,-8.18,-6.26,-3.71,3.72,-0.72,0.15,2.98,365.58M,-5.48%,"8,736.59"
200208,0.50,-1.42,3.23,1.25,-1.62,0.14,2.01,262.20M,-0.84%,"8,663.50"
200209,-10.35,3.03,1.49,3.19,-2.28,0.14,8.76,298.76M,-12.37%,"7,591.93"
200210,7.84,-4.32,-4.07,-3.35,0.91,0.14,-4.51,338.71M,10.60%,"8,397.03"
200211,5.96,3.02,-1.51,-8.93,5.10,0.12,-10.65,276.00M,5.94%,"8,896.09"
200212,-5.76,0.51,2.28,6.18,-1.60,0.11,9.36,228.46M,-6.23%,"8,341.63"
200301,-2.57,0.72,-0.86,-0.94,0.79,0.10,1.44,273.05M,-3.45%,"8,053.81"
200302,-1.88,-0.95,-1.33,0.87,-0.55,0.09,3.40,245.44M,-2.02%,"7,891.08"
200303,1.09,0.59,-2.15,1.89,-0.71,0.10,1.68,281.79M,1.28%,"7,992.13"
200304,8.22,1.05,0.89,-4.59,1.11,0.10,-8.24,256.26M,6.11%,"8,480.09"
200305,6.05,4.67,0.11,-7.07,3.14,0.09,-5.78,234.92M,4.37%,"8,850.26"
200306,1.42,1.68,0.39,0.48,-0.36,0.10,-2.69,248.18M,1.53%,"8,985.44"
200307,2.35,4.71,-1.08,-4.22,1.87,0.07,-2.49,234.33M,2.76%,"9,233.80"
200308,2.34,2.58,1.61,-2.29,2.20,0.07,-0.91,3.81B,1.97%,"9,415.82"
200309,-1.24,0.46,0.05,1.07,0.31,0.08,0.08,4.39B,-1.49%,"9,275.06"
200310,6.08,2.66,1.92,-1.37,1.55,0.07,4.59,4.79B,5.67%,"9,801.12"
200311,1.35,2.22,1.80,0.14,1.67,0.07,0.06,3.55B,-0.19%,"9,782.46"
200312,4.29,-2.58,1.58,0.49,0.97,0.08,-1.91,4.17B,6.86%,"10,453.92"
200401,2.15,2.44,2.45,-3.67,3.40,0.07,2.83,4.38B,0.33%,"10,488.07"
200402,1.40,-0.96,0.86,2.16,-1.34,0.06,-0.24,3.82B,0.91%,"10,583.92"
200403,-1.32,2.13,0.24,1.70,-1.04,0.09,0.58,4.97B,-2.14%,"10,357.70"
200404,-1.83,-2.05,-3.07,3.48,-2.80,0.08,-3.12,4.53B,-1.28%,"10,225.57"
200405,1.17,-0.43,-0.29,-1.19,-0.08,0.06,-0.33,4.02B,-0.36%,"10,188.45"
200406,1.86,2.57,1.23,1.18,-0.41,0.08,2.11,4.11B,2.42%,"10,435.48"
200407,-4.06,-3.05,3.28,5.07,-1.62,0.10,-1.93,4.45B,-2.83%,"10,139.71"
200408,0.08,-1.26,0.96,1.14,-1.45,0.11,0.39,3.72B,0.34%,"10,173.92"
200409,1.60,3.28,-0.07,-1.32,-1.89,0.11,2.36,4.63B,-0.92%,"10,080.27"
200410,1.43,0.20,-0.29,-0.30,0.40,0.11,-0.36,5.29B,-0.52%,"10,027.47"
200411,4.54,4.08,1.43,-0.66,-0.23,0.15,1.67,5.61B,3.99%,"10,428.02"
200412,3.43,-0.06,-0.18,-1.17,0.51,0.16,-0.55,5.74B,3.40%,"10,783.01"
200501,-2.76,-1.21,2.01,2.73,-1.38,0.16,2.48,5.30B,-2.72%,"10,489.94"
200502,1.89,-0.30,1.63,1.47,-0.04,0.16,2.27,5.04B,2.63%,"10,766.23"
200503,-1.97,-1.35,2.14,0.56,1.12,0.21,1.16,5.82B,-2.44%,"10,503.76"
200504,-2.61,-4.02,0.05,0.82,-0.90,0.21,0.32,5.85B,-2.96%,"10,192.51"
200505,3.65,2.72,-0.66,-1.09,0.28,0.24,0.33,4.84B,2.70%,"10,467.48"
200506,0.57,3.26,2.82,1.10,-0.52,0.23,2.57,5.03B,-1.84%,"10,274.97"
200507,3.92,2.79,-0.83,-1.21,-0.98,0.24,0.88,4.82B,3.56%,"10,640.91"
200508,-1.22,-0.88,1.38,-2.10,0.44,0.30,3.17,5.08B,-1.50%,"10,481.60"
200509,0.49,-0.34,0.74,0.34,-0.57,0.29,3.30,5.22B,0.83%,"10,568.70"
200510,-2.02,-1.41,0.45,-0.86,-1.25,0.27,-1.10,5.83B,-1.22%,"10,440.07"
200511,3.61,0.81,-1.16,-0.77,-1.18,0.31,0.84,5.39B,3.50%,"10,805.87"
